system:index,date,location,rainfall_mm,.geo
20200822,2020-08-22,Quang Tri,11.602363600277632,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200823,2020-08-23,Quang Tri,4.788959159565848,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200824,2020-08-24,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200825,2020-08-25,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200826,2020-08-26,Quang Tri,8.077168643766855,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200827,2020-08-27,Quang Tri,6.771218948273757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200828,2020-08-28,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200829,2020-08-29,Quang Tri,4.482646777696071,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200830,2020-08-30,Quang Tri,0.4567227466865959,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200831,2020-08-31,Quang Tri,4.2572927551938236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200901,2020-09-01,Quang Tri,1.3806489244145146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200902,2020-09-02,Quang Tri,0.008465964766090756,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200903,2020-09-03,Quang Tri,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200904,2020-09-04,Quang Tri,1.9484953965697898,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200905,2020-09-05,Quang Tri,0.18602747848164494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200906,2020-09-06,Quang Tri,1.9057084427408864,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200907,2020-09-07,Quang Tri,9.90913764641086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200908,2020-09-08,Quang Tri,4.372246539949394,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200909,2020-09-09,Quang Tri,6.800817392128518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200910,2020-09-10,Quang Tri,1.7168435570463398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200911,2020-09-11,Quang Tri,4.81337109302831,"{""type"":""MultiPoint"",""coordinates"":[]}"
